Movie-Title,rating,Director_stars
Jumanji: Welcome to the Jungle,6.9,"Director:Jake Kasdan,  Stars:Dwayne Johnson, Karen Gillan, Kevin Hart, Jack Black"
Cars,7.1,"Directors:John Lasseter, Joe Ranft,  Stars:Owen Wilson, Bonnie Hunt, Paul Newman, Larry the Cable Guy"
Doctor Strange,7.5,"Director:Scott Derrickson,  Stars:Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong"
Hillbilly Elegy,6.7,"Director:Ron Howard,  Stars:Amy Adams, Glenn Close, Gabriel Basso, Haley Bennett"
Tropic Thunder,7.0,"Director:Ben Stiller,  Stars:Ben Stiller, Jack Black, Robert Downey Jr., Jeff Kahn"
The Hateful Eight,7.8,"Director:Quentin Tarantino,  Stars:Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins"
Donnie Darko,8.0,"Director:Richard Kelly,  Stars:Jake Gyllenhaal, Jena Malone, Mary McDonnell, Holmes Osborne"
The Pianist,8.5,"Director:Roman Polanski,  Stars:Adrien Brody, Thomas Kretschmann, Frank Finlay, Emilia Fox"
Malèna,7.5,"Director:Giuseppe Tornatore,  Stars:Monica Bellucci, Giuseppe Sulfaro, Luciano Federico, Matilde Piana"
The King of Staten Island,7.1,"Director:Judd Apatow,  Stars:Pete Davidson, Bel Powley, Ricky Velez, Lou Wilson"
Snowpiercer,7.1,"Director:Bong Joon Ho,  Stars:Chris Evans, Jamie Bell, Tilda Swinton, Ed Harris"
Oldeuboi,8.4,"Director:Chan-wook Park,  Stars:Choi Min-sik, Yoo Ji-Tae, Kang Hye-jeong, Kim Byeong-Ok"
The Nice Guys,7.4,"Director:Shane Black,  Stars:Russell Crowe, Ryan Gosling, Angourie Rice, Matt Bomer"
Salinui chueok,8.1,"Director:Bong Joon Ho,  Stars:Kang-ho Song, Kim Sang-kyung, Roe-ha Kim, Jae-ho Song"
The Old Guard,6.7,"Director:Gina Prince-Bythewood,  Stars:Charlize Theron, KiKi Layne, Matthias Schoenaerts, Marwan Kenzari"
Zootopia,8.0,"Directors:Byron Howard, Rich Moore, Jared Bush,  Stars:Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate"
Ant-Man,7.3,"Director:Peyton Reed,  Stars:Paul Rudd, Michael Douglas, Corey Stoll, Evangeline Lilly"
Weird Science,6.6,"Director:John Hughes,  Stars:Anthony Michael Hall, Ilan Mitchell-Smith, Kelly LeBrock, Bill Paxton"
Tremors,7.1,"Director:Ron Underwood,  Stars:Kevin Bacon, Fred Ward, Finn Carter, Michael Gross"
6 Underground,6.1,"Director:Michael Bay,  Stars:Ryan Reynolds, Mélanie Laurent, Manuel Garcia-Rulfo, Ben Hardy"
